Total Nacional	Comunidades y Ciudades Autónomas	Edad (año a año)	Españoles/Extranjeros	Sexo	Año	Total
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2013	2.100.998
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2012	2.121.888
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2011	2.115.334
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2010	2.098.373
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2009	2.081.313
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2008	2.043.100
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2007	1.977.304
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2006	1.932.261
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2005	1.894.667
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2004	1.848.881
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2003	1.815.781
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2002	1.782.038
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2001	1.755.053
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2000	1.734.261
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2022	7.792.611
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2021	7.763.362
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2020	7.780.479
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2019	7.675.217
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2018	7.600.065
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2017	7.555.830
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2016	7.522.596
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2015	7.508.106
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2014	7.518.903
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2013	7.553.650
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2012	7.570.908
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2011	7.539.618
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2010	7.512.381
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2009	7.475.420
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2008	7.364.078
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2007	7.210.508
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2006	7.134.697
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2005	6.995.206
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2004	6.813.319
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2003	6.704.146
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2002	6.506.440
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2001	6.361.365
Total Nacional	09 Cataluña	TOTAL EDADES	TOTAL	Ambos sexos	2000	6.261.999
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2022	5.097.967
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2021	5.058.138
