Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;periodo;Total
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2014;35.382
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2013;41.120
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2012;37.475
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2011;37.598
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2010;34.821
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2009;37.049
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2008;29.342
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2007;29.740
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2006;..
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2005;..
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2004;..
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2003;..
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2002;..
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2001;..
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2000;..
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2022;28.224
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2020;20.269
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2018;15.772
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2016;20.994
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2014;19.882
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2013;23.557
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2012;19.545
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2011;23.138
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2010;22.285
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2009;24.453
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2008;20.246
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2007;19.133
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2006;11.671
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2005;14.823
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2004;24.930
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2003;20.985
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2002;17.352
Total Nacional;03 Asturias, Principado de;- Pérdidas reales;2001;22.433
