Total Nacional;Comunidades y Ciudades Autónomas;Tipo de captación;periodo;Total
Total Nacional;04 Balears, Illes;Desalación;2002;2.632
Total Nacional;04 Balears, Illes;Desalación;2001;351
Total Nacional;04 Balears, Illes;Desalación;2000;770
Total Nacional;05 Canarias;Total;2022;235.411
Total Nacional;05 Canarias;Total;2020;156.629
Total Nacional;05 Canarias;Total;2018;136.016
Total Nacional;05 Canarias;Total;2016;136.565
Total Nacional;05 Canarias;Total;2014;138.593
Total Nacional;05 Canarias;Total;2013;115.299
Total Nacional;05 Canarias;Total;2012;127.247
Total Nacional;05 Canarias;Total;2011;133.361
Total Nacional;05 Canarias;Total;2010;145.573
Total Nacional;05 Canarias;Total;2009;140.050
Total Nacional;05 Canarias;Total;2008;139.390
Total Nacional;05 Canarias;Total;2007;172.922
Total Nacional;05 Canarias;Total;2006;129.549
Total Nacional;05 Canarias;Total;2005;130.237
Total Nacional;05 Canarias;Total;2004;135.486
Total Nacional;05 Canarias;Total;2003;127.948
Total Nacional;05 Canarias;Total;2002;126.601
Total Nacional;05 Canarias;Total;2001;104.166
Total Nacional;05 Canarias;Total;2000;107.453
Total Nacional;05 Canarias;Aguas superficiales;2022;225
Total Nacional;05 Canarias;Aguas superficiales;2020;18
Total Nacional;05 Canarias;Aguas superficiales;2018;2.996
Total Nacional;05 Canarias;Aguas superficiales;2016;734
Total Nacional;05 Canarias;Aguas superficiales;2014;5.404
Total Nacional;05 Canarias;Aguas superficiales;2013;9.646
Total Nacional;05 Canarias;Aguas superficiales;2012;23.411
Total Nacional;05 Canarias;Aguas superficiales;2011;22.534
Total Nacional;05 Canarias;Aguas superficiales;2010;47.386
Total Nacional;05 Canarias;Aguas superficiales;2009;38.776
Total Nacional;05 Canarias;Aguas superficiales;2008;29.544
Total Nacional;05 Canarias;Aguas superficiales;2007;33.549
Total Nacional;05 Canarias;Aguas superficiales;2006;38.385
Total Nacional;05 Canarias;Aguas superficiales;2005;17.881
Total Nacional;05 Canarias;Aguas superficiales;2004;18.410
Total Nacional;05 Canarias;Aguas superficiales;2003;14.709
Total Nacional;05 Canarias;Aguas superficiales;2002;19.118
Total Nacional;05 Canarias;Aguas superficiales;2001;14.586
Total Nacional;05 Canarias;Aguas superficiales;2000;18.961
Total Nacional;05 Canarias;Aguas subterráneas;2022;14.410
Total Nacional;05 Canarias;Aguas subterráneas;2020;10.067
Total Nacional;05 Canarias;Aguas subterráneas;2018;11.674
Total Nacional;05 Canarias;Aguas subterráneas;2016;7.288
Total Nacional;05 Canarias;Aguas subterráneas;2014;7.803
Total Nacional;05 Canarias;Aguas subterráneas;2013;7.382
Total Nacional;05 Canarias;Aguas subterráneas;2012;29.100
Total Nacional;05 Canarias;Aguas subterráneas;2011;7.192
Total Nacional;05 Canarias;Aguas subterráneas;2010;8.652
Total Nacional;05 Canarias;Aguas subterráneas;2009;31.580
Total Nacional;05 Canarias;Aguas subterráneas;2008;40.257
Total Nacional;05 Canarias;Aguas subterráneas;2007;54.873
Total Nacional;05 Canarias;Aguas subterráneas;2006;24.173
Total Nacional;05 Canarias;Aguas subterráneas;2005;40.415
Total Nacional;05 Canarias;Aguas subterráneas;2004;39.025
Total Nacional;05 Canarias;Aguas subterráneas;2003;42.423
Total Nacional;05 Canarias;Aguas subterráneas;2002;21.452
Total Nacional;05 Canarias;Aguas subterráneas;2001;16.778
Total Nacional;05 Canarias;Aguas subterráneas;2000;11.657
Total Nacional;05 Canarias;Desalación;2022;220.776
Total Nacional;05 Canarias;Desalación;2020;146.544
Total Nacional;05 Canarias;Desalación;2018;121.346
Total Nacional;05 Canarias;Desalación;2016;128.543
Total Nacional;05 Canarias;Desalación;2014;125.386
Total Nacional;05 Canarias;Desalación;2013;98.271
Total Nacional;05 Canarias;Desalación;2012;74.736
Total Nacional;05 Canarias;Desalación;2011;103.635
Total Nacional;05 Canarias;Desalación;2010;89.535
