Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;periodo;Total
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2001;..
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2000;..
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2022;42.066
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2020;36.243
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2018;40.520
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2016;46.346
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2014;50.836
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2013;48.812
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2012;50.439
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2011;48.971
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2010;..
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2009;..
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2008;..
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2007;..
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2006;..
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2005;..
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2004;..
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2003;..
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2002;..
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2001;..
Total Nacional;02 Aragón;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2000;..
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2022;246.006
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2020;446.555
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2018;370.603
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2016;403.460
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2014;552.204
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2013;451.120
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2012;409.599
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2011;367.351
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2010;335.400
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2009;298.913
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2008;273.866
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2007;285.462
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2006;327.610
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2005;296.015
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2004;267.259
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2003;142.679
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2002;86.113
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2001;93.800
Total Nacional;03 Asturias, Principado de;Volumen de aguas residuales tratadas;2000;115.637
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2022;142
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2020;26.285
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2018;24.946
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2016;15.723
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2014;38.187
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2013;0
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2012;255
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2011;7.222
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2010;5.517
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2009;0
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2008;0
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2007;8.487
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2006;7.928
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2005;9.047
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2004;29.480
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2003;2.128
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2002;0
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2001;0
Total Nacional;03 Asturias, Principado de;Volumen total de agua reutilizada;2000;0
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2022;45.835
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2020;50.828
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2018;57.671
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2016;49.125
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2014;56.517
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2013;47.756
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2012;47.745
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2011;45.538
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2010;44.613
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2009;45.012
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2008;40.169
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2007;42.495
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2006;34.405
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2005;29.010
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2004;17.538
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2003;23.026
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2002;18.366
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2001;17.493
Total Nacional;03 Asturias, Principado de;Importe facturado por alcantarillado y depuración;2000;15.194
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2022;4.589
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2020;5.067
